qltg,1=龟甲冬青
ydhp,1=计夏睿
yavt,1=计划群
yant,1=计划性
nvyu,1=譬如说
arfn,1=警报声
arkk,1=警报器
aaxg,1=警戒线
annt,1=警惕性
abbw,1=警卫队
ablp,1=警卫连
abnn,1=警卫局
abth,1=警卫处
aath,1=警匪片
ryml,1=誓言岬
ykfb,1=言顺地
ybvj,1=言承旭
yrxh,1=言所引
yiee,1=言兴朋
ygkd,1=言不顺
qqer,1=触角腺
qqiw,1=触角脊
qqsr,1=触角板
qekk,1=触肢器
qxtf,1=触纤毛
qros,1=触摸灯
qrqg,1=触手鳞
qraf,1=触手鞘
qrem,1=触手肌
qrpf,1=触手冠
qnse,1=触发极
qfdy,1=触动态
qbsc,1=解除权
qqlt,1=解锁力
qtsc,1=解释权
qiax,1=解酒药
qivo,1=解酒灵
qykk,1=解调器
qyyn,1=解说词
qykm,1=解说员
qeyj,1=解胶剂
qbyj,1=解联剂
qxxj,1=解绑费
qxjj,1=解约日
qxbi,1=解约函
qvux,1=解絮凝
qsem,1=解禁股
qdkk,1=解码器
qrax,1=解热药
qslt,1=解析力
qyaf,1=解放鞋
qydr,1=解放碑
qyrb,1=解放报
qyrg,1=解放后
qyaq,1=解放区
qyue,1=解放前
qypu,1=解放初
qypl,1=解放军
qrcc,1=解折叠
qdxp,1=解压缩
qhyj,1=解卡剂
quca,1=解剖颈
qusv,1=解剖根
quip,1=解剖学
quvb,1=解决好
qubn,1=解决了
qwbu,1=解偶联
qioq,1=角鲨烯
qhyx,1=角频率
qrea,1=角质膜
qrsw,1=角质栓
qrgm,1=角质刺
qqae,1=角色散
qesd,1=角膜顶
qeuo,1=角膜瘘
qeoo,1=角膜炎
qhhg,1=角皮凸
qlad,1=角甲基
qoxt,1=角焊缝
qufg,1=角斗士
qyrh,1=角度看
qmsh,1=角岩相
qaea,1=角基膜
qfjg,1=角动量
qlyn,1=角力记
qwtq,1=角位移
phyj,1=视频课
phbq,1=视频聊
phxe,1=视频组
phxg,1=视频线
phuh,1=视频站
phte,1=视频秀
phjv,1=视频照
phiy,1=视频流
phud,1=视频头
phkn,1=视频呢
phkg,1=视频号
phhh,1=视频卡
phtc,1=视频么
phgi,1=视频不
pdtk,1=视面积
pgrf,1=视青质
pbpw,1=视隐窝
pqip,1=视错觉
pjqy,1=视野岛
pckh,1=视通路
pqtp,1=视象管
piuk,1=视觉部
pitm,1=视觉筒
pite,1=视觉盘
piip,1=视觉学
pikk,1=视觉器
piaq,1=视觉区
pihh,1=视觉上
pmya,1=视见度
pnrr,1=视蛋白
parf,1=视蓝质
pbce,1=视聆通
pmea,1=视网膜
pxjf,1=视线里
pxkh,1=视线距
phrf,1=视紫质
ppxc,1=视神经
phnf,1=视皮层
puap,1=视疲劳
pgfc,1=视束支
prtm,1=视投射
pnuk,1=视情况
ppqj,1=视宁象
pdbj,1=视太阳
pqme,1=视外髓
pkyu,1=视听说
pcjt,1=视双星
payx,1=视功率
pifa,1=视削截
pbim,1=视出没
pmme,1=视内髓
pwqe,1=视倾角
pwhi,1=视个频
efwn,1=觅封侯
ebyh,1=觅子店
fapb,1=规范字
fsnn,1=规格书
fmih,1=规则波
fmaa,1=规则式
fmyl,1=规则库
fabp,1=规划院
fang,1=规划司
cuut,1=观音阁
cual,1=观音莲
cuid,1=观音湖
cuim,1=观音洞
cuna,1=观音殿
cust,1=观音桥
cumg,1=观音峡
cumm,1=观音山
cufy,1=观音塘
cuip,1=观音堂
cuwq,1=观音像
ciqg,1=观赏鱼
cidg,1=观赏石
cint,1=观赏性
cqck,1=观象台
cryn,1=观舞记
cpck,1=观礼台
ciir,1=观潮派
cibg,1=观海卫
ciuh,1=观测站
cihk,1=观测点
cifn,1=观测场
cikm,1=观测员
ciwf,1=观测值
cslf,1=观林园
cjyn,1=观景房
cjck,1=观景台
cjmd,1=观日岩
cjud,1=观影券
cpqu,1=观察镜
cpuh,1=观察站
cppw,1=观察窗
cphk,1=观察点
cpif,1=观察法
cpad,1=观察期
cprb,1=观察报
cprt,1=观察手
cprn,1=观察所
cppe,1=观察家
cpbn,1=观察孔
cpkm,1=观察员
cplt,1=观察力
cpgc,1=观察到
cpwg,1=观察使
crdg,1=观后感
cusf,1=观前村
cilg,1=观光车
cipt,1=观光客
cilf,1=观光团
ciog,1=观光业
cwvt,1=观众群
cwds,1=观众厅
cwwu,1=观众们
cauj,1=观世音
mdfa,1=见龙塔
mdyo,1=见面谈
mdbq,1=见面聊
mdwf,1=见面会
muvi,1=见闻录
mfdm,1=见过面
mfkr,1=见过啦
mygf,1=见诸于
mytd,1=见识短
mygc,1=见识到
mtbn,1=见笑了
mrdm,1=见的面
mimq,1=见没见
meja,1=见彩虹
mmkq,1=见崎鸣
mpyn,1=见客户
mpuq,1=见实效
mmwc,1=见周公
mvab,1=见君节
mdge,1=见右表
mgbn,1=见到了
mwja,1=见分晓
migq,1=见光死
mbdm,1=见了面
mbww,1=见了人
mntg,1=见习生
mnad,1=见习期
mgud,1=见不着
mggc,1=见不到
mhup,1=见上帝
sedi,1=覆膜砂
sudm,1=覆盖面
suyx,1=覆盖率
suyj,1=覆盖剂
scvt,1=覆叠群
slqc,1=要黑色
sybm,1=要高出
scxq,1=要预约
sqqg,1=要钱钱
sqkm,1=要钱呗
suuv,1=要道歉
scpi,1=要通宵
sugd,1=要逆天
sfys,1=要起床
synf,1=要谨慎
syha,1=要谦虚
sykb,1=要说啊
sanj,1=要警惕
sphi,1=要视频
sbhq,1=要聚餐
sbbc,1=要聚聚
sfha,1=要考虑
sxyf,1=要统计
sxjs,1=要结果
sxqn,1=要红包
slgq,1=要累死
sgeu,1=要素膳
spcn,1=要神马
stut,1=要知道
srky,1=要的嘛
stkl,1=要特别
setr,1=要爱我
sjdb,1=要照顾
shew,1=要点脸
shqk,1=要点名
sisv,1=要没要
sijn,1=要没电
sgkr,1=要死啦
ssrn,1=要根据
sjfi,1=要显示
sjyu,1=要是说
sygc,1=要放到
srbw,1=要排队
srjv,1=要拍照
srrq,1=要抱抱
srjc,1=要抓紧
sttc,1=要怎么
stkw,1=要得哈
stjq,1=要很晚
spqk,1=要实名
spwq,1=要定你
sqit,1=要多少
sjrf,1=要坚持
stwb,1=要和他
sktl,1=要吐血
slim,1=要加油
slxk,1=要加强
spyk,1=要军训
spkc,1=要写吗
swjn,1=要停电
swgc,1=要做到
sfec,1=要二胎
snnx,1=要习惯
sqcm,1=要乐观
syfc,1=要主动
sgkn,1=要不呢
shix,1=要上涨
scst,1=西马桥
sqyh,1=西饼店
sqng,1=西饼屋
shds,1=西餐厅
smgq,1=西风烈
smsg,1=西风槽
smwg,1=西风剑
sbsf,1=西隐村
sbmg,1=西陵峡
suls,1=西门町
styh,1=西街店
sanx,1=西蒙尼
suqi,1=西美尔
sxuy,1=西红门
sxsy,1=西红柿
sogo,1=西米亚
srjh,1=西瓜虫
sraj,1=西瓜蔓
srvf,1=西瓜妹
srud,1=西瓜头
srlw,1=西瓜办
srvn,1=西瓜刀
silp,1=西湖边
siyn,1=西游记
siqs,1=西游杀
sitf,1=西港街
siri,1=西温泉
sild,1=西海固
siqf,1=西洒镇
siqu,1=西洋镜
siae,1=西洋菜
sigl,1=西洋画
sicd,1=西洋参
sijf,1=西汉时
sxtg,1=西毕生
sxvo,1=西比灵
ssfh,1=西柏坡
ssua,1=西林瓶
sjym,1=西昌市
syhv,1=西施眼
syjv,1=西方照
stff,1=西敏寺
syvt,1=西康群
skis,1=西川河
smxv,1=西崎绿
smut,1=西山道
smqd,1=西山希
smnd,1=西山居
snqf,1=西屏镇
sqmh,1=西尔贝
sdbf,1=西大陆
splq,1=西塞罗
spmm,1=西塞山
sdyn,1=西厢记
sfuq,1=西南郊
sweg,1=西华县
sugf,1=西半球
suuk,1=西北部
suqe,1=西北角
suae,1=西北菜
suid,1=西北湖
smis,1=西凤酒
syeg,1=西充县
sxfy,1=西乡塘
sdgg,1=西三环
sdyt,1=西三旗
piml,1=襟裳岬
pqlm,1=褶皱轴
pqnl,1=褶皱翼
pqmm,1=褶皱山
plgx,1=褪黑素
pjwv,1=褚时健
yocc,1=褒业骏
paug,1=褐黄病
pccq,1=褐马鸡
pxff,1=褐红土
poff,1=褐粘土
poja,1=褐煤蜡
psug,1=褐根病
yedm,1=裹脚布
yeij,1=裹肤温
pkux,1=裸跑弟
prws,1=裸质体
pnou,1=裸蛋糕
pqtx,1=裸色系
pxeq,1=裸细胞
poqc,1=裸粉色
phfj,1=裸眼井
pagt,1=裸燕麦
psal,1=裸根苗
pyvq,1=裸房婚
pnxg,1=裸导线
pbbb,1=裸孢子
pgjs,1=裸囊果
djhm,1=裴贤贞
doss,1=裴炳森
dixh,1=裴注引
dvnc,1=裴君怡
dfyd,1=裴元庆
pxeu,1=裱纸胶
perh,1=裤脱看
uqos,1=装饰灯
uqlu,1=装饰圈
uqsm,1=装铠机
usxg,1=装配线
uswr,1=装配件
ulfn,1=装车场
uwuj,1=装货单
ualg,1=装药车
uoiw,1=装糊涂
uped,1=装窑须
ullg,1=装甲车
ulrg,1=装甲兵
uolg,1=装煤车
uosm,1=装煤机
uoyx,1=装灯率
uijg,1=装油量
uuua,1=装新瓶
urdn,1=装扮成
upor,1=装富煌
utyh,1=装备店
urbw,1=装卸队
urta,1=装卸长
urxg,1=装卸线
urav,1=装制切
gcaa,1=裂颈式
gbqe,1=裂隙角
gbey,1=裂隙脉
gbth,1=裂隙片
gbgk,1=裂隙带
gwtx,1=裂谷系
gwrv,1=裂谷热
gxqe,1=裂缝角
gxkh,1=裂纹嘴
gkvv,1=裂口女
fjsc,1=裁量权
fxyh,1=裁缝店
fxvn,1=裁纸刀
fuxq,1=裁剪纸
fuxe,1=裁判组
fukm,1=裁判员
dfrg,1=袭击后
plbn,1=被黑了
pfsv,1=被需要
pbrm,1=被限制
pexm,1=被采纳
pkyn,1=被遗忘
pkyc,1=被遗弃
pcxk,1=被通缉
ptyl,1=被选为
plru,1=被车撞
pfyr,1=被起诉
pysk,1=被认可
piyl,1=被誉为
psnf,1=被覆层
peai,1=被股东
plff,1=被罚款
pxvq,1=被结婚
pxxf,1=被终结
pxyo,1=被约谈
ppul,1=被窝兽
psyy,1=被禁言
pqku,1=被狗咬
poax,1=被爆药
pjdb,1=被照顾
piwt,1=被烫伤
pigo,1=被消灭
pijt,1=被浏览
piey,1=被洗脑
pifk,1=被泄露
piiv,1=被污染
pivf,1=被汉奸
pacy,1=被欺骗
paqm,1=被欺负
psgx,1=被梅毒
psaq,1=被查获
pqpd,1=被杀害
pjrs,1=被暴打
pjdn,1=被晒成
prbk,1=被撤职
prva,1=被摧毁
prnh,1=被接收
prrp,1=被指控
prqy,1=被拘留
prxq,1=被拒绝
prfh,1=被抢走
pryc,1=被抛弃
prew,1=被打脸
ptvc,1=被我妈
pqlt,1=被忽略
pidn,1=被当成
pxrp,1=被强迫
pxvf,1=被强奸
pxrm,1=被强制
pgbw,1=被开除
ppyx,1=被害率
ppww,1=被害人
pvvj,1=被嫖娼
pvyc,1=被嫌弃
pdpr,1=被套牢
pldh,1=被困在
pfcq,1=被喜欢
pkol,1=被吸烟
pkty,1=被吸入
pkgc,1=被吓到
pkfc,1=被叫去
pdrp,1=被压迫
pdss,1=被压木
pfid,1=被动源
plov,1=被加数
pqbk,1=被免职
pcyt,1=被允许
pwvq,1=被催婚
pwcy,1=被你骗
pwwd,1=被低估
phgy,1=被上班
pgos,1=袖珍灯
pdfw,1=袖克夫
wjuf,1=袋里装
wikk,1=袋滤器
wsub,1=袋模塑
fxig,1=袁纯清
fhye,1=袁紫衣
fepl,1=袁爱军
fvni,1=袁灵犀
fiap,1=袁洁莹
fjvg,1=袁晓婕
fplw,1=袁家界
fpyf,1=袁家庄
fpmw,1=袁家岭
fuea,1=袁善腊
fkgs,1=袁咏琳
fait,1=袁世海
yaaq,1=衰落区
prrv,1=衬质势
ppll,1=衬衫男
peqc,1=衬肤色
pxya,1=衬比度
prbm,1=衬托出
gdea,1=表面膜
gdtk,1=表面积
gdlh,1=表面皿
guhx,1=表酱紫
gdaa,1=表达式
gdbm,1=表达出
gdbn,1=表达了
gyya,1=表调度
gemi,1=表膜嵴
gebn,1=表膜孔
gfos,1=表示灯
gtos,1=表盘灯
ghlf,1=表皮黑
ghrf,1=表皮质
ghmi,1=表皮嵴
ghdr,1=表皮原
grwc,1=表白颂
gglt,1=表现力
ggbn,1=表现了
gipf,1=表演赛
gslt,1=表格图
gsja,1=表板蜡
gnxg,1=表情线
gnxy,1=表情纹
gnif,1=表情法
gnup,1=表情帝
gnve,1=表情姐
guwf,1=表彰会
gniy,1=表层流
gtgj,1=表处理
gusc,1=表决权
gurm,1=表决制
gbrr,1=表了白
pmex,1=补骨脂
pqar,1=补锅匠
pknn,1=补遗书
ptop,1=补身烷
pmpt,1=补贴额
pmqq,1=补贴金
pmxj,1=补贴费
pmge,1=补贴表
pmyx,1=补贴率
psff,1=补西墙
ppey,1=补补脑
ptax,1=补血药
pasm,1=补节机
pqtv,1=补色律
pjax,1=补肾药
pxte,1=补给舰
pxxg,1=补给线
pxuh,1=补给站
pxia,1=补给港
pxkk,1=补给品
phht,1=补瞌睡
pahw,1=补牙齿
phtl,1=补点血
phii,1=补点水
pitt,1=补漆笔
pifh,1=补液盐
piem,1=补涨股
prtl,1=补气血
prax,1=补气药
psov,1=补模数
prqk,1=补报名
pvyj,1=补好课
pdpn,1=补唇蜜
phxj,1=补卡费
phuj,1=补卡单
peqq,1=补助金
pexj,1=补助费
peff,1=补助款
pvwq,1=补刀斧
pios,1=补光灯
pwqq,1=补偿金
pbyj,1=补了课
pngy,1=补习班
pswy,1=补丁集
ywre,1=衣舍授
ysvc,1=衣橱怒
ysqc,1=衣本色
yeyh,1=衣服店
yetc,1=衣服么
ymnm,1=衣帽刷
yixo,1=衣少缕
ykjm,1=衣品帅
ydws,1=衣原体
ylye,1=衣加衣
tgha,1=衡于虑
tnjp,1=衔尾蛇
tpqj,1=衍衬象
tcjf,1=行驶时
tlos,1=行车灯
tkcw,1=行路难
tkyb,1=行距离
tmld,1=行贿罪
tfmj,1=行规则
ttvb,1=行行好
ttbl,1=行矩阵
tiyu,1=行波说
tsxb,1=行松弛
tsyn,1=行李房
tspg,1=行李室
tsds,1=行李厢
tsud,1=行李卷
tgbp,1=行政院
tgsc,1=行政权
tgaq,1=行政区
tnjs,1=行必果
ttce,1=行得通
tpys,1=行军床
tomw,1=行业内
tgce,1=行不通
topk,1=血迷宫
tlhv,1=血轮眼
tekf,1=血腥味
txeq,1=血细胞
txed,1=血纤肽
txqc,1=血红色
toym,1=血糖高
tovo,1=血精灵
ttoo,1=血管炎
ttse,1=血管极
ttnf,1=血管层
tigx,1=血清素
tiod,1=血清类
tiis,1=血淋淋
ticn,1=血淋巴
tiug,1=血液病
tikq,1=血泪史
tiqg,1=血汗钱
txrv,1=血比热
tsgx,1=血栓素
tsop,1=血栓烷
tifw,1=血常规
tnrv,1=血尿热
tisr,1=血小板
xgqf,1=蠡吾镇
jgja,1=蠕形螨
jfuk,1=蠕动冲
qkav,1=蟹味菇
jspk,1=蟠桃宫
jjng,1=蟑螂屋
jlem,1=螺轴肌
jkfw,1=螺距规
jkxx,1=螺距比
jjow,1=螺蛳粉
jxgg,1=螺绕环
jxqm,1=螺纹钢
jxfw,1=螺纹规
jxex,1=螺纹脂
jxgk,1=螺纹副
jvop,1=螺甾烷
juop,1=螺桨烷
jsdi,1=螺杆泵
jylm,1=螺旋轴
jyep,1=螺旋腕
jytp,1=螺旋管
jyud,1=螺旋状
jyoj,1=螺旋焊
jyoc,1=螺旋烃
jydi,1=螺旋泵
jyuq,1=螺旋桨
jyfc,1=螺旋支
jyya,1=螺旋度
jykk,1=螺旋器
jygk,1=螺旋副
jyvy,1=螺旋丸
jfgg,1=螺增环
jxqs,1=螺丝钉
jxrc,1=螺丝摊
jxrx,1=螺丝批
jxmh,1=螺丝帽
jxvn,1=螺丝刀
gnws,1=螯导体
gupt,1=融资额
gwea,1=融合膜
gwjc,1=融合肾
gwel,1=融合肋
gwxg,1=融合线
gwlt,1=融合力
jqlh,1=螃蟹甲
jqhi,1=螃蟹步
jqml,1=螃蟹岬
jqxt,1=蝶鳞缝
jmuk,1=蝶骨部
jaxt,1=蝶颧缝
jpxt,1=蝶额缝
jsxt,1=蝶顶缝
jspw,1=蝶顶窦
jahk,1=蝶鞍点
jbme,1=蝶耳骨
jpoo,1=蝶窦炎
jmgq,1=蝶岩裂
jitd,1=蝶小舌
jjaw,1=蝴蝶花
jjxf,1=蝴蝶结
jjri,1=蝴蝶泉
jjvn,1=蝴蝶刀
jjpu,1=蝙蝠衫
jgwt,1=蝎螯伤
jnwg,1=蝉翼剑
jxdh,1=蜷缩在
jkku,1=蜱叮咬
jjod,1=蜥蜴类
jtgl,1=蜡笔画
jock,1=蜡烛台
jsrn,1=蜡模拟
jixq,1=蜡光纸
pjgx,1=蜜蜂毒
povg,1=蜜糖婊
pows,1=蜜糖体
ponm,1=蜜粉刷
psow,1=蜜桃粉
pste,1=蜜桃秀
psir,1=蜜桃派
pead,1=蜜月期
dqna,1=蜚鸟尽
jjuf,1=蜘蛛痣
jlsr,1=蜗轴板
jlyq,1=蜗轴底
jpmi,1=蜗窗嵴
jpxc,1=蜗神经
jrgx,1=蜗牛素
jrin,1=蜗牛汤
jitp,1=蜗水管
jsgk,1=蜗杆副
jewx,1=蜕膜化
jhgx,1=蜕皮素
jydn,1=蜕变成
jjvy,1=蜈蚣丸
jkfn,1=蜂鸣声
jkkk,1=蜂鸣器
jpaw,1=蜂蜜茶
jpxq,1=蜂窝纸
jpoa,1=蜂窝煤
jged,1=蜂毒肽
jvle,1=蜂巢胃
jvoy,1=蜂巢炉
jvnf,1=蜂巢层
lfmg,1=蜀都赋
lmir,1=蜀山派
jjga,1=蛾螺型
yvdj,1=蛮隶百
yaxn,1=蛮荒纪
yrtt,1=蛮搞笑
yrlc,1=蛮年轻
yvkw,1=蛮娘吟
yvet,1=蛮好用
yvkj,1=蛮好喝
ysnw,1=蛮可怜
jjin,1=蛤蜊汤
jdia,1=蛟龙港
jmea,1=蛛网膜
joft,1=蛙粪霉
jadl,1=蛙式夯
naow,1=蛋黄粉
ncwf,1=蛋鸡舍
naxo,1=蛋花粥
nain,1=蛋花汤
nopu,1=蛋糕裙
noeg,1=蛋糕胚
nomq,1=蛋糕网
noow,1=蛋糕粉
nowg,1=蛋糕盒
noim,1=蛋糕油
noso,1=蛋糕楼
noyn,1=蛋糕房
noyh,1=蛋糕店
nokb,1=蛋糕啊
nocy,1=蛋糕叉
nohh,1=蛋糕卡
nrrf,1=蛋白质
nrow,1=蛋白粉
nrdg,1=蛋白石
nrni,1=蛋白尿
necq,1=蛋用鸡
noou,1=蛋烘糕
noqn,1=蛋炒饭
nodm,1=蛋炒面
negl,1=蛋彩画
nnfm,1=蛋尾击
nknh,1=蛋中蛋
jcdx,1=蛇颈龙
joew,1=蛇精脸
jovc,1=蛇精妈
jovv,1=蛇精女
jhaq,1=蛇目菊
jhwa,1=蛇皮袋
jhjs,1=蛇皮果
jfyw,1=蛇夫座
jkia,1=蛇口港
jjev,1=蚯蚓腿
jjoa,1=蚯蚓粪
jqgx,1=蚜色素
jsgx,1=蚜橙素
gjsg,1=蚕蛾酸
gexg,1=蚕肠线
gppg,1=蚕宝宝
jxab,1=蚓结节
juem,1=蚓状肌
jmaq,1=蚌山区
jlki,1=蚊连啵
jbev,1=蚊子腿
jbks,1=蚊子叮
jauq,1=蚁菌瘤
jlpy,1=蚁力神
jggx,1=虾青素
johc,1=虾米皮
jull,1=虾头男
juvv,1=虾头女
kqyu,1=虽然说
jdim,1=虹龙洞
jqqg,1=虹鳟鱼
jeqb,1=虹膜镊
jeqq,1=虹膜钩
jenk,1=虹膜襞
jegq,1=虹膜裂
jeue,1=虹膜剪
jsyh,1=虹桥店
jkaa,1=虹吸式
jaws,1=虫菌体
jesr,1=虫胶板
jxai,1=虫绿藻
jxgx,1=虫绿素
jrja,1=虫白蜡
jisg,1=虫漆酶
jvaw,1=虫媒花
jleu,1=虫图腾
jkah,1=虫吃牙
jqws,1=虫包体
huww,1=虞美人
hgic,1=虞瑞汉
hsih,1=虞松波
hfia,1=虞朝鸿
hfeg,1=虞城县
hnrq,1=虞书欣
hafm,1=虞世南
hssf,1=虚飘飘
hbse,1=虚阴极
hcut,1=虚通道
hckh,1=虚通路
hpdx,1=虚空龙
hvvn,1=虚灵刀
hrqv,1=虚拟键
hrmq,1=虚拟网
hrte,1=虚拟盘
hrsm,1=虚拟机
hryl,1=虚拟库
hrkg,1=虚拟号
hrhh,1=虚拟卡
hruj,1=虚拟单
hrwx,1=虚拟化
hrww,1=虚拟人
hfid,1=虚声源
hmhi,1=虚同步
hrtm,1=虚反射
hcov,1=虚参数
hwtq,1=虚位移
huhk,1=虚交点
hyfb,1=虔诚地
hcll,1=虐驴男
huld,1=虐童罪
hujv,1=虐童照
hupv,1=虐童案
hqvv,1=虐猫女
hquy,1=虐猪门
htqt,1=虐待狂
huqf,1=虎门镇
hkmg,1=虎跳峡
hkri,1=虎跑泉
hecd,1=虎豹骑
htxa,1=虎舌红
hdck,1=虎石台
hqul,1=虎狮兽
hpud,1=虎牢关
hsqf,1=虎林镇
hslf,1=虎林园
hyuy,1=虎度门
hunc,1=虎头怪
hfst,1=虎坊桥
hrkh,1=虎丘路
hrmm,1=虎丘山
hraq,1=虎丘区
hgdx,1=虎与龙
apgx,1=藻褐素
aegx,1=藻胆素
axws,1=藻红体
aoip,1=藻类学
aual,1=藻状菌
aooa,1=藻烛煤
axsc,1=藤缠树
atsv,1=藤梨根
ashi,1=藤村步
afeu,1=藤壶胶
aoqc,1=藕粉色
aytx,1=藏语系
axut,1=藏经阁
axim,1=藏经洞
axso,1=藏经楼
auwh,1=藏着个
aqqt,1=藏猫猫
atpw,1=藏毛窦
apyl,1=藏宝库
aadh,1=藏匿在
arim,1=藏兵洞
anso,1=藏书楼
amss,1=薪炭林
arak,1=薛捍勤
akqq,1=薛忠铭
apiy,1=薛家湾
apyk,1=薛定谔
abyu,1=薛子谦
alsa,1=薛国栋
apyu,1=薛之谦
aaxk,1=薛世强
aoow,1=薏米粉
afhi,1=薄都督
atqu,1=薄透镜
aaey,1=薄荷脑
aaxv,1=薄荷绿
aakf,1=薄荷叶
aeuw,1=薄膜阀
aewa,1=薄膜袋
aeye,1=薄膜衣
arrc,1=薄瓜瓜
aaps,1=薄熙宁
aonf,1=薄煤层
arfm,1=薄拱坝
anqn,1=薄情馆
ansr,1=薄层板
antp,1=薄壁管
aniv,1=薄壁梁
ansf,1=薄壁杆
awrg,1=薄伽丘
auad,1=蕾状期
axlp,1=蕾丝边
aajg,1=蕴藏量
akgx,1=蕈中毒
atvj,1=蔽身巢
asvk,1=蔺相如
aaxo,1=蔬菜粥
aaod,1=蔬菜类
aain,1=蔬菜泥
agkv,1=蔫不唧
aqic,1=蔡镇泽
aaqq,1=蔡蓝钦
aapy,1=蔡荣祖
aawp,1=蔡艺侬
ayee,1=蔡育鹏
axje,1=蔡继明
ayva,1=蔡文姬
arri,1=蔡抄抄
abxt,1=蔡承颖
aiha,1=蔡小虎
apfh,1=蔡家坡
abgc,1=蔡孟臻
avtd,1=蔡妙甜
alsc,1=蔡国权
alyd,1=蔡国庆
ahvg,1=蔡卓妍
affu,1=蔡元培
awah,1=蔡健雅
aajd,1=蔡东晨
aaqc,1=蔚蓝色
atgc,1=蔓延到
aaut,1=蓬莱阁
afrq,1=蓬勃的
aevt,1=蓟县群
aexn,1=蓟县纪
aedy,1=蓟县矿
alqc,1=蓝黑色
amtq,1=蓝风筝
audg,1=蓝闪石
aqnc,1=蓝金怪
aqxu,1=蓝色弱
aeex,1=蓝胭脂
aexq,1=蓝胖纸
aovo,1=蓝精灵
atem,1=蓝筹股
aeap,1=蓝盈莹
arxa,1=蓝白红
alxe,1=蓝田组
avdg,1=蓝灵石
acfj,1=蓝桑坤
aedc,1=蓝朋友
aeyp,1=蓝月亮
anin,1=蓝心湄
axqq,1=蓝弘钦
abiw,1=蓝孔雀
akdf,1=蓝嘴唇
acjf,1=蓝又时
ammr,1=蓝凤凰
apmb,1=蓝军邮
axxa,1=蓝丝绒
aseu,1=蓝丁胶
ajib,1=蓄电池
aijg,1=蓄水量
aiib,1=蓄水池
aqii,1=蒸馏水
aqsm,1=蒸饭机
aeiy,1=蒸腾流
aica,1=蒸汽驱
aism,1=蒸汽机
aifa,1=蒸汽塔
acwg,1=蒸桑拿
arme,1=蒸排骨
anlh,1=蒸发皿
anrv,1=蒸发热
anib,1=蒸发池
anmd,1=蒸发岩
anfa,1=蒸发塔
aasw,1=蒲黄榆
aojt,1=蒲熠星
ashw,1=蒲松龄
aclh,1=蒲巴甲
apah,1=蒲安臣
awam,1=蒲公英
asmm,1=蒙顶山
ardg,1=蒙皂石
arud,1=蒙气差
ajlm,1=蒙日轴
ajgk,1=蒙日束
adds,1=蒙太奇
adqn,1=蒙古包
afmn,1=蒋霆凯
afgm,1=蒋雯丽
aqfu,1=蒋锡培
afyv,1=蒋超良
axlg,1=蒋经国
apgu,1=蒋祝平
adxf,1=蒋有绪
adjp,1=蒋春暄
ajvf,1=蒋昌建
akxk,1=蒋忠强
aljt,1=蒋国星
alwa,1=蒋四代
acfw,1=蒋劲夫
aieh,1=蒋光鼐
awdg,1=蒋介石
agai,1=蒋丽萍
abtl,1=蒋丞稷
adkm,1=蒋万勋
aanx,1=蒂芙尼
amnx,1=蒂凡尼
aaob,1=葵花籽
agdf,1=葵玲奈
aomw,1=葱爆肉
aakw,1=葬花吟
aarc,1=葫芦瓜
aavf,1=葫芦娃
agta,1=董事长
agwf,1=董事会
aais,1=葡萄酒
aaec,1=葡萄胎
aaoy,1=葡萄糖
aaow,1=葡萄粉
aaah,1=葡萄牙
aado,1=葡萄灰
aaiq,1=葡萄沟
aasc,1=葡萄树
aasm,1=葡萄柚
aafg,1=葡萄干
aboy,1=葡聚糖
aoep,1=葡糖胺
awsc,1=著作权
aqdl,1=落锤夯
aykr,1=落课啦
anse,1=落羽杉
aicq,1=落汤鸡
aitp,1=落水管
aiqt,1=落水狗
aiim,1=落水洞
apgc,1=落实到
abca,1=落子戏
afpw,1=落地窗
afos,1=落地灯
afaa,1=落地式
arrq,1=落后的
akss,1=落叶林
aksw,1=落叶松
avgd,1=落九天
agdo,1=落下灰
avip,1=萱妍堂
aleg,1=萨迦县
advx,1=萨达姆
axfa,1=萨维塔
agxm,1=萨瓦纳
ajyv,1=萨日朗
aygo,1=萨摩亚
argo,1=萨提亚
aryj,1=萨拉齐
akeu,1=萨呼腾
atfo,1=萨利赫
adtp,1=萨克管
ataq,1=萧条区
ajhp,1=萧景睿
awxm,1=萧伯纳
awmc,1=萧人凤
adta,1=萧万长
axud,1=萦绕着
axdh,1=萦绕在
aquk,1=营销部
aqjg,1=营销师
asaq,1=营林区
ajyf,1=营归计
akwu,1=营员们
akym,1=营口市
auhq,1=营养餐
aufk,1=营养露
auql,1=营养链
aueq,1=营养胞
auxo,1=营养粥
ausv,1=营养根
aukk,1=营养品
aopt,1=营业额
aouk,1=营业部
aoyg,1=营业证
aotu,1=营业税
aojv,1=营业照
aojj,1=营业日
aorn,1=营业所
aont,1=营业性
aopg,1=营业室
aokm,1=营业员
aods,1=营业厅
aojh,1=萤火虫
ahae,1=萝卜菜
ahev,1=萝卜腿
ahxy,1=萝卜纹
ahxa,1=萝卜红
ahxo,1=萝卜粥
ahoc,1=萝卜粑
ahob,1=萝卜籽
ahos,1=萝卜灯
ahis,1=萝卜潭
ahiy,1=萝卜洲
ahsc,1=萝卜树
ahrp,1=萝卜控
ahxx,1=萝卜丝
aosg,1=萜烯醇
